Mikal,Bridges,SF,25,PHO,0.725101626,34.80487805,0.364,0.183,2.9,10,8.7,1.6,1.1,6.8,15,0.369,0.628,0.834
Saddiq,Bey,SF,22,DET,0.68699187,32.97560976,0.537,0.224,4.1,14.1,13.8,1.3,0.5,7.1,21.3,0.346,0.454,0.827
Deni,Avdija,SF,21,WAS,0.504065041,24.19512195,0.447,0.235,3,20.5,11.8,1.5,1.9,12,16.3,0.317,0.525,0.757
Dwight,Powell,C,30,DAL,0.456808943,21.92682927,0.092,0.529,10.7,14.3,8.1,1,2,11.5,14,0.351,0.703,0.783
Kevon,Looney,C,25,GSW,0.44004065,21.12195122,0.003,0.343,13.5,23.8,13.2,1.4,2.9,13.8,12.2,0,0.573,0.6
Patty,Mills,PG,33,BRK,0.603395062,28.96296296,0.715,0.074,0.9,6.2,10.6,1.1,0.6,8.2,16.4,0.4,0.429,0.814
Alec,Burks,SG,30,NYK,0.596193416,28.61728395,0.534,0.363,2.1,16.6,15.7,1.8,1.1,9.7,17.7,0.404,0.378,0.822
Terance,Mann,SF,25,LAC,0.595936214,28.60493827,0.301,0.238,4.9,14.3,13.1,1.2,0.8,9.9,16,0.365,0.535,0.78
Miles,Bridges,PF,23,CHO,0.738802083,35.4625,0.383,0.274,3.3,17.8,15.7,1.3,2.2,9.9,22.6,0.331,0.59,0.802
Dorian,Finney-Smith,PF,28,DAL,0.688541667,33.05,0.629,0.12,5.1,10.7,8.2,1.7,1.3,9.9,13.8,0.395,0.599,0.675
Evan,Fournier,SG,29,NYK,0.6140625,29.475,0.641,0.117,1.5,8.2,11.9,1.7,0.8,9.4,20.8,0.389,0.465,0.708
Chris,Boucher,PF,29,TOR,0.440104167,21.125,0.397,0.334,10.9,21.3,2.2,1.4,4.3,6,17.8,0.297,0.575,0.777
Jalen,Brunson,PG,25,DAL,0.665611814,31.94936709,0.25,0.211,1.9,11.7,24.3,1.3,0.1,10.1,21.9,0.373,0.545,0.84
Franz,Wagner,SF,20,ORL,0.640559072,30.74683544,0.278,0.225,3.6,11.9,15.7,1.4,1.3,10,21.2,0.354,0.511,0.863
Jordan,Clarkson,SG,29,UTA,0.564609705,27.10126582,0.536,0.156,3.5,10.2,14.5,1.5,0.7,9.8,26.8,0.318,0.535,0.828
Duncan,Robinson,SG,27,MIA,0.538765823,25.86075949,0.86,0.084,1.4,9.8,9.3,1,0.7,7.4,17.7,0.372,0.569,0.836
Malik,Beasley,SG,25,MIN,0.521097046,25.01265823,0.749,0.071,1.4,11.2,8.5,1,0.6,4.7,19.4,0.377,0.432,0.817
Kenyon,Martin Jr.,SF,21,HOU,0.436708861,20.96202532,0.321,0.235,5.3,14.5,9.4,1,2.2,9.4,16.3,0.357,0.617,0.634
Russell,Westbrook,PG,33,LAL,0.715277778,34.33333333,0.215,0.324,4.4,18.8,31.6,1.3,0.7,17.3,27.3,0.298,0.485,0.667
Herbert,Jones,PF,23,NOP,0.62366453,29.93589744,0.293,0.283,4.5,9.6,10,2.7,2.5,13.4,13.7,0.337,0.533,0.84
Jaren,Jackson Jr.,PF,22,MEM,0.56784188,27.25641026,0.387,0.333,5.7,16.9,5.8,1.6,7.4,9.9,25.4,0.319,0.476,0.823
Jae'Sean,Tate,SF,26,HOU,0.549145299,26.35897436,0.277,0.252,7.2,15.3,16.9,1.7,1.8,14.6,19.6,0.312,0.569,0.707
Immanuel,Quickley,PG,22,NYK,0.481303419,23.1025641,0.547,0.278,1.8,13.1,24.5,1.5,0.2,10.9,22.2,0.346,0.448,0.881
Harrison,Barnes,PF,29,SAC,0.699945887,33.5974026,0.432,0.495,3.4,14.9,10.5,1,0.5,10.4,18.8,0.394,0.525,0.826
Royce,O'Neale,SF,28,UTA,0.650974026,31.24675325,0.689,0.126,3,13.4,10.5,1.8,1.2,14.4,9.9,0.389,0.609,0.804
Kentavious,Caldwell-Pope,SG,28,WAS,0.630140693,30.24675325,0.492,0.186,2,10.3,9.1,1.8,0.9,9.8,19,0.39,0.48,0.89
Ayo,Dosunmu,SG,22,CHI,0.570887446,27.4025974,0.348,0.146,1.4,9.9,16.5,1.4,1.2,15.9,14.1,0.376,0.596,0.679
Grant,Williams,PF,23,BOS,0.507305195,24.35064935,0.597,0.22,3.8,11.8,5.7,1,2.8,11.6,12.6,0.411,0.569,0.905
Corey,Kispert,SF,22,WAS,0.48728355,23.38961039,0.623,0.121,3.3,9.4,6.7,1,1,8.5,14.6,0.35,0.629,0.871
Delon,Wright,SG,29,ATL,0.392857143,18.85714286,0.431,0.234,3.8,12.7,16.6,3.1,1.2,13.2,10.3,0.379,0.51,0.857
Naz,Reid,C,22,MIN,0.328733766,15.77922078,0.349,0.313,8.8,18,8.7,1.6,5.6,13.2,21.4,0.343,0.568,0.765
